Accuracy,Recall,Precision,Fscore,AUC,dataset
0.0023474178403755,1.0,0.0023474178403755,0.0046838407494145,0.258235294117647,A1Benchmark/real_1.csv
0.0150462962962962,1.0,0.0150462962962962,0.0296465222348916,0.3419506462984724,A1Benchmark/real_10.csv
0.0219907407407407,1.0,0.0219907407407407,0.0430351075877689,0.3284023668639053,A1Benchmark/real_11.csv
0.0023148148148148,1.0,0.0023148148148148,0.0046189376443418,0.345707656612529,A1Benchmark/real_12.csv
0.8969907407407407,0.3333333333333333,0.0348837209302325,0.0631578947368421,0.6056530214424951,A1Benchmark/real_13.csv
0.0,0.0,0.0,0.0,,A1Benchmark/real_14.csv
0.8981481481481481,0.375,0.0348837209302325,0.0638297872340425,0.6273364485981309,A1Benchmark/real_15.csv
0.8574686431014823,1.0,0.0234375,0.0458015267175572,0.90255530129672,A1Benchmark/real_16.csv
0.2654970760233918,1.0,0.2654970760233918,0.4195933456561921,0.4442675159235669,A1Benchmark/real_17.csv
0.0,0.0,0.0,0.0,,A1Benchmark/real_18.csv
0.2654970760233918,1.0,0.2654970760233918,0.4195933456561921,0.4119854653609809,A1Benchmark/real_19.csv
0.8506944444444444,0.375,0.048,0.0851063829787234,0.6101488797169811,A1Benchmark/real_2.csv
0.9086651053864168,0.7777777777777778,0.0843373493975903,0.1521739130434782,0.935568704799474,A1Benchmark/real_20.csv
0.8943661971830986,0.1666666666666666,0.0116279069767441,0.0217391304347826,0.4976359338061466,A1Benchmark/real_21.csv
0.0739436619718309,1.0,0.0739436619718309,0.1377049180327869,0.4702154626108998,A1Benchmark/real_22.csv
0.0105633802816901,1.0,0.0105633802816901,0.0209059233449477,0.3849347568208778,A1Benchmark/real_23.csv
0.8620296465222349,0.2,0.0267857142857142,0.0472440944881889,0.5066898685228152,A1Benchmark/real_24.csv
0.718931475029036,0.4883720930232558,0.0871369294605809,0.1478873239436619,0.5405981691021777,A1Benchmark/real_25.csv
0.9372822299651568,0.9866666666666668,0.5826771653543307,0.7326732673267327,0.9629262086513996,A1Benchmark/real_26.csv
0.8996499416569428,0.5,0.0116279069767441,0.0227272727272727,0.6877192982456142,A1Benchmark/real_27.csv
0.96878612716763,0.9753086419753086,0.7596153846153846,0.8540540540540541,0.9713955026455026,A1Benchmark/real_28.csv
0.8069364161849711,0.8333333333333334,0.0292397660818713,0.0564971751412429,0.790454016298021,A1Benchmark/real_29.csv
0.8928164196123147,0.2857142857142857,0.0454545454545454,0.0784313725490196,0.5941897036914418,A1Benchmark/real_3.csv
0.9019384264538198,0.625,0.0568181818181818,0.1041666666666666,0.7647439585730725,A1Benchmark/real_30.csv
0.028004667444574,1.0,0.028004667444574,0.0544835414301929,0.4058373349339736,A1Benchmark/real_31.csv
0.9171528588098016,0.4680851063829787,0.3235294117647059,0.3826086956521739,0.8956002101392172,A1Benchmark/real_32.csv
0.0023148148148148,1.0,0.0023148148148148,0.0046189376443418,0.345707656612529,A1Benchmark/real_33.csv
0.9031505250875146,0.7142857142857143,0.0581395348837209,0.1075268817204301,0.8552941176470589,A1Benchmark/real_34.csv
0.0,0.0,0.0,0.0,,A1Benchmark/real_35.csv
0.0011402508551881,1.0,0.0011402508551881,0.0022779043280182,0.5,A1Benchmark/real_36.csv
0.9326364692218352,0.9117647058823528,0.3604651162790697,0.5166666666666666,0.915267799985774,A1Benchmark/real_37.csv
0.9743290548424738,0.1111111111111111,0.0666666666666666,0.0833333333333333,0.5410115303983228,A1Benchmark/real_38.csv
0.9054842473745623,0.75,0.0705882352941176,0.1290322580645161,0.8265606595995288,A1Benchmark/real_39.csv
0.0058548009367681,1.0,0.0058548009367681,0.0116414435389988,0.4163722025912839,A1Benchmark/real_4.csv
0.9894982497082848,0.9875,0.9080459770114944,0.9461077844311376,0.9878941441441442,A1Benchmark/real_40.csv
0.0023228803716608,1.0,0.0023228803716608,0.0046349942062572,0.3981373690337602,A1Benchmark/real_41.csv
